Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,background_fetch,260,0,55,56.17328607119047,51.99718475341797,70.01256942749023,0.0,0.5653327155193593,0.0,55,57,58,58,60,62,64,68,70,70,70
gRPC,create_update_fetch_delete_vacancy,360,0,190.0,189.15734158621893,184.82160568237305,255.00249862670898,262.7527777777778,0.7827683753344974,0.0,190,190,190,190,190,200,210,220,260,260,260
,Aggregated,620,0,190.0,133.3898344347554,51.99718475341797,255.00249862670898,152.56612903225806,1.3481010908538567,0.0,190,190,190,190,190,190,200,210,260,260,260
